Scan 1,Scan 2,Scan 3,Speed,Clerk (Row),Scan (Column)
16,13,18,15,1,1
15,18,19,15,1,1
12,13,15,14,1,1
15,15,14,15,1,1
16,18,19,14,2,1
15,14,16,15,2,1
14,15,17,13,2,1
12,15,14,12,2,1
14,14,15,15,3,1
,16,17,14,3,1
,,,16,3,1
,,,13,3,1
,,,14,4,1
,,,15,4,1
,,,16,4,1
,,,15,4,1
,,,15,5,1
,,,17,5,1
,,,14,5,1
,,,13,5,1
,,,16,1,2
,,,17,1,2
,,,14,1,2
,,,12,1,2
,,,15,2,2
,,,17,2,2
,,,16,2,2
,,,13,2,2
,,,16,3,2
,,,14,3,2
,,,13,3,2
,,,14,3,2
,,,15,4,2
,,,17,4,2
,,,18,4,2
,,,14,4,2
,,,16,5,2
,,,16,5,2
,,,17,5,2
,,,19,5,2
,,,18,1,3
,,,17,1,3
,,,15,1,3
,,,15,1,3
,,,14,2,3
,,,18,2,3
,,,19,2,3
,,,20,2,3
,,,17,3,3
,,,18,3,3
,,,17,3,3
,,,16,3,3
,,,20,4,3
,,,19,4,3
,,,17,4,3
,,,16,4,3
,,,20,5,3
,,,18,5,3
,,,18,5,3
,,,17,5,3
