Salaries,Locations (Row),JobType(Column)
54,East,1
61,East,1
59,East,1
56,East,1
70,East,1
62,East,1
63,East,1
57,East,1
68,East,1
52,Central,1
50,Central,1
58,Central,1
59,Central,1
62,Central,1
57,Central,1
58,Central,1
64,Central,1
61,Central,1
63,West,1
67,West,1
68,West,1
72,West,1
68,West,1
75,West,1
62,West,1
65,West,1
70,West,1
48,East,2
50,East,2
49,East,2
60,East,2
54,East,2
52,East,2
49,East,2
55,East,2
53,East,2
44,Central,2
49,Central,2
54,Central,2
53,Central,2
51,Central,2
60,Central,2
55,Central,2
47,Central,2
50,Central,2
65,West,2
58,West,2
62,West,2
70,West,2
57,West,2
61,West,2
68,West,2
65,West,2
73,West,2
71,East,3
76,East,3
65,East,3
70,East,3
68,East,3
62,East,3
73,East,3
60,East,3
79,East,3
61,Central,3
64,Central,3
69,Central,3
58,Central,3
57,Central,3
63,Central,3
65,Central,3
63,Central,3
50,Central,3
82,West,3
75,West,3
79,West,3
77,West,3
80,West,3
69,West,3
84,West,3
83,West,3
76,West,3
